table_catalog,table_schema,table_name,column_name,field_path,data_type,description,collation_name,rounding_mode
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productBrand,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productRevenue,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.localProductRevenue,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productPrice,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.localProductPrice,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productQuantity,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productRefundAmount,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.localProductRefundAmount,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.isImpression,BOOL,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.isClick,BOOL,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.customDimensions,"ARRAY<STRUCT<index INT64, value STRING>>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.customDimensions.index,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.customDimensions.value,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.customMetrics,"ARRAY<STRUCT<index INT64, value INT64>>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.customMetrics.index,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.customMetrics.value,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productListName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productListPosition,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.promotion,"ARRAY<STRUCT<promoId STRING, promoName STRING, promoCreative STRING, promoPosition STRING>>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.promotion.promoId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.promotion.promoName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.promotion.promoCreative,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.promotion.promoPosition,STRING,,NULL,
